# schizophrenia 段階0 の中間検証用の候補リスト（1000 遺伝子）
# 作成 2026-09-18。順序は下の構成の順（段階0 は並びに依存しない）。
#   1. 正解 11: C4A, GRIN2A, GRM3, DRD2, DRD3, CHRM1, CHRM3, CHRM4, COMT, GAD1, SLC6A3
#      Open Targets（MONDO_0005090）: DRD2 0.733 / DRD3 0.672 / GRIN2A 0.588 / GRM3 0.579 / CHRM3 0.489 / CHRM4 0.459 /
#      CHRM1 0.431 / SLC6A3 0.424 / COMT 0.240 / GAD1 0.120 / C4A 0.088（文献のみ）。CHRM1・CHRM4 は xanomeline（ChEMBL: M1/M4 作動薬）
#   2. 同族デコイ 50: 正解と同じ系統（ムスカリン・ニコチン・グルタミン酸・ドパミン・セロトニン・アドレナリン受容体、
#      SLC6A、GABA-A、補体）の正式記号のうち Open Targets < 0.1 の 55 個から seed=0 で 50
#   3. Open Targets 関連スコア上位 100
#   ここまで重複を除いて 153 件。残り 847 件は genelist01_all.txt から seed=0 で無作為に補充。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名<TAB>遺伝子記号の別名
C4A		Complement C4-A	CO4,CPAMD2
COL10A1		Collagen alpha-1(X) chain	
ATG4D		Cysteine protease ATG4D	APG4D,AUTL4
CATSPERG		Cation channel sperm-associated auxiliary subunit gamma	C19orf15
ZNF366		Zinc finger protein 366	
OR2H2		Olfactory receptor 2H2	FAT11,OLFR2,OR2H3
HNRNPA1		Heterogeneous nuclear ribonucleoprotein A1	HNRPA1
DBNDD1		Dysbindin domain-containing protein 1	
CAV2		Caveolin-2	
ANKRD34B		Ankyrin repeat domain-containing protein 34B	
HOMER2		Homer protein homolog 2	
FMC1		Protein FMC1 homolog	C7orf55
ZNF777		Zinc finger protein 777	
F11		Coagulation factor XI	
TNFSF14		Tumor necrosis factor ligand superfamily member 14	HVEML,LIGHT
KLHL9		Kelch-like protein 9	
USP17L13		Ubiquitin carboxyl-terminal hydrolase 17-like protein 13	
GPRC6A		G protein-coupled receptor family C group 6 member A	
YPEL1		Protein yippee-like 1	FKSG3
SOX2		Transcription factor SOX-2	
LAX1		Lymphocyte transmembrane adapter 1	LAX
TVP23C		Golgi apparatus membrane protein TVP23 homolog C	FAM18B2,Nbla10383
PRSS16		Thymus-specific serine protease	TSSP
LIMK1		LIM domain kinase 1	LIMK
MELTF		Melanotransferrin	MAP97,MFI2
KRT76		Keratin, type II cytoskeletal 2 oral	KRT2B,KRT2P
CPT2		Carnitine O-palmitoyltransferase 2, mitochondrial	CPT1
UBQLN4		Ubiquilin-4	C1orf6,CIP75,UBIN
IFI44		Interferon-induced protein 44	MTAP44
CXCL3		C-X-C motif chemokine 3	GRO3,GROG,SCYB3
EXTL2		Exostosin-like 2	EXTR2
FIBP		Acidic fibroblast growth factor intracellular-binding protein	
H2BC21		Histone H2B type 2-E	H2BFQ,HIST2H2BE
ZNF391		Zinc finger protein 391	
NAT14		Probable N-acetyltransferase 14	KLP1
FAM120B		Constitutive coactivator of peroxisome proliferator-activated receptor gamma	CCPG
IGFBP7		Insulin-like growth factor-binding protein 7	MAC25,PSF
ZNF121		Zinc finger protein 121	ZNF20
TTC36		Tetratricopeptide repeat protein 36	HBP21
DEFB112		Beta-defensin 112	DEFB12
ZNF135		Zinc finger protein 135	ZNF61,ZNF78L1
LMAN2L		VIP36-like protein	VIPL,PSEC0028
DDR1		Epithelial discoidin domain-containing receptor 1	CAK,EDDR1,NEP,NTRK4
OAS1		2'-5'-oligoadenylate synthase 1	OIAS
AKAP14		A-kinase anchor protein 14	AKAP28
IBTK		Inhibitor of Bruton tyrosine kinase	BTKI
SHCBP1		SHC SH2 domain-binding protein 1	
P2RY14		P2Y purinoceptor 14	GPR105
KRT82		Keratin, type II cuticular Hb2	KRTHB2
FKBP10		Peptidyl-prolyl cis-trans isomerase FKBP10	FKBP65,PSEC0056
GNAI3		Guanine nucleotide-binding protein G(i) subunit alpha-3	
STAT1		Signal transducer and activator of transcription 1-alpha/beta	
ATP13A3		Polyamine-transporting ATPase 13A3	AFURS1
ARSA		Arylsulfatase A	
RIDA		2-iminobutanoate/2-iminopropanoate deaminase	HRSP12
MOB1A		MOB kinase activator 1A	C2orf6,MOB4B,MOBK1B,MOBKL1B
MPHOSPH6		M-phase phosphoprotein 6	MPP6
STATH		Statherin	
CLNS1A		Methylosome subunit pICln	CLCI,ICLN
PAQR7		Membrane progestin receptor alpha	MRPA
MZB1		Marginal zone B- and B1-cell-specific protein	MEDA7,PACAP
RBMY1C		RNA-binding motif protein, Y chromosome, family 1 member C	
MYRIP		Rab effector MyRIP	SLAC2C
CYP1A1		Cytochrome P450 1A1	
LELP1		Late cornified envelope-like proline-rich protein 1	
WDR43		WD repeat-containing protein 43	UTP5
ZNF860		Zinc finger protein 860	
SNX27		Sorting nexin-27	My014
WDR12		Ribosome biogenesis protein WDR12	
ZNF419		Zinc finger protein 419	ZNF419A
GPHRA		Golgi pH regulator A	GPR89,GPR89A,SH120
TMEM237		Transmembrane protein 237	ALS2CR4
ZNF766		Zinc finger protein 766	
SEMA3E		Semaphorin-3E	SEMAH
ETV7		Transcription factor ETV7	TEL2,TELB,TREF
ZFR		Zinc finger RNA-binding protein	
SUV39H1		Histone-lysine N-methyltransferase SUV39H1	KMT1A,SUV39H
OR5G3		Olfactory receptor 5G3	OR5G3P,OR5G6P
LILRB3		Leukocyte immunoglobulin-like receptor subfamily B member 3	ILT5,LIR3
IRF6		Interferon regulatory factor 6	
PTCHD4		Patched domain-containing protein 4	C6orf138,PTCH53
USP40		Ubiquitin carboxyl-terminal hydrolase 40	
EN2		Homeobox protein engrailed-2	
RPL11		Large ribosomal subunit protein uL5	
ATP4A		Potassium-transporting ATPase alpha chain 1	
DUSP19		Dual specificity protein phosphatase 19	DUSP17,LMWDSP3,SKRP1
MTNR1A		Melatonin receptor type 1A	
BHLHA15		Class A basic helix-loop-helix protein 15	BHLHB8,MIST1
OR4N2		Olfactory receptor 4N2	
CA1		Carbonic anhydrase 1	
CDHR4		Cadherin-related family member 4	CDH29
PLAAT2		Phospholipase A and acyltransferase 2	HRASLS2
C16orf95		Uncharacterized protein C16orf95	
TOB1		Protein Tob1	TOB,TROB1
OSCP1		Protein OSCP1	C1orf102,NOR1
SUDS3		Sin3 histone deacetylase corepressor complex component SDS3	SAP45,SDS3
RCE1		CAAX prenyl protease 2	FACE2,RCE1A,RCE1B
NUP62		Nuclear pore glycoprotein p62	
SEPHS2		Selenide, water dikinase 2	SPS2
CD8B2		T-cell surface glycoprotein CD8 beta-2 chain	CD8BP
MMP14		Matrix metalloproteinase-14	
TEX35		Testis-expressed protein 35	C1orf49
NLN		Neurolysin, mitochondrial	AGTBP
MSX1		Homeobox protein MSX-1	HOX7
DOCK3		Dedicator of cytokinesis protein 3	MOCA
RFPL4AL1		Ret finger protein-like 4A-like protein 1	
RET		Proto-oncogene tyrosine-protein kinase receptor Ret	CDHF12,CDHR16,PTC
SRPX		Sushi repeat-containing protein SRPX	ETX1
ASAP3		Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 3	DDEFL1,UPLC1
BCL2L15		Bcl-2-like protein 15	C1orf178
PHF3		PHD finger protein 3	
LRMDA		Leucine-rich melanocyte differentiation-associated protein	C10orf11,CDA017
SDC3		Syndecan-3	
SNX31		Sorting nexin-31	
JHY		Jhy protein homolog	C11orf63
ATF6B		Cyclic AMP-dependent transcription factor ATF-6 beta	CREBL1,G13
SREK1		Splicing regulatory glutamine/lysine-rich protein 1	SFRS12,SRRP86
SMIM45		Small integral membrane protein 45	LINC00634
DSCAM		Cell adhesion molecule DSCAM	
BET1L		BET1-like protein	GS15
ADAMDEC1		ADAM DEC1	
GK2		Glycerol kinase 2	GKP2,GKTA
ARMH2		Armadillo-like helical domain-containing protein 2	C6orf229
H2AP		Huntingtin-interacting protein M	CXorf27,HYPM
SIGMAR1		Sigma non-opioid intracellular receptor 1	OPRS1,SRBP,AAG8
KHNYN		Protein KHNYN	
ALG11		GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase	GT8
RFC5		Replication factor C subunit 5	
DEFB124		Beta-defensin 124	DEFB24
BLVRB		Flavin reductase	FLR,SCAN
VPS26C		Vacuolar protein sorting-associated protein 26C	DCRA,DSCR3,DSCRA
IQCK		IQ domain-containing protein K	
KIAA1328		Protein hinderin	
IFNA1		Interferon alpha-1	
GLP1R		Glucagon-like peptide 1 receptor	
TRMT1		tRNA (guanine(26)-N(2))-dimethyltransferase	
KRTAP29-1		Keratin-associated protein 29-1	KAP29.2
CARM1		Histone-arginine methyltransferase CARM1	PRMT4
DNAH3		Dynein axonemal heavy chain 3	DNAHC3B
KCNMB1		Calcium-activated potassium channel subunit beta-1	
ZNF34		Zinc finger protein 34	KOX32
GTF2IRD1		General transcription factor II-I repeat domain-containing protein 1	CREAM1,GTF3,MUSTRD1,RBAP2
TRNAU1AP		tRNA selenocysteine 1-associated protein 1	SECP43,TRSPAP1
MMP3		Stromelysin-1	STMY1
VPS26A		Vacuolar protein sorting-associated protein 26A	VPS26
SRGN		Serglycin	PRG,PRG1
EEF1E1		Eukaryotic translation elongation factor 1 epsilon-1	AIMP3,P18
AGGF1		Angiogenic factor with G patch and FHA domains 1	GPATC7,GPATCH7,VG5Q
SYN1		Synapsin-1	
APOB		Apolipoprotein B-100	
ZBTB10		Zinc finger and BTB domain-containing protein 10	RINZF,RINZFC
ETFRF1		Electron transfer flavoprotein regulatory factor 1	LYRM5
RNF43		E3 ubiquitin-protein ligase RNF43	
TPST1		Protein-tyrosine sulfotransferase 1	
JOSD2		Josephin-2	SBBI54
OR2B3		Putative olfactory receptor 2B3	OR2B3P
SOX8		Transcription factor SOX-8	
PTMS		Parathymosin	
TRIB3		Tribbles homolog 3	C20orf97,NIPK,SKIP3,TRB3
CNIH1		Protein cornichon homolog 1	CNIH,CNIL
IPO9		Importin-9	IMP9,RANBP9
DLGAP4		Disks large-associated protein 4	DAP4,SAPAP4
SPDYE12		Speedy protein E12	SPDYE12P
NHERF4		Na(+)/H(+) exchange regulatory cofactor NHE-RF4	IKEPP,PDZD3,PDZK2,DLNB27
PITX2		Pituitary homeobox 2	ARP1,RGS,RIEG,RIEG1
C9orf85		Uncharacterized protein C9orf85	
ZKSCAN2		Zinc finger protein with KRAB and SCAN domains 2	ZNF694
HSP90AB1		Heat shock protein HSP 90-beta	HSP90B
PWWP2A		PWWP domain-containing protein 2A	MST101
NUTM2B		NUT family member 2B	FAM22B
CSF2RB		Cytokine receptor common subunit beta	IL3RB,IL5RB
UTP4		U3 small nucleolar RNA-associated protein 4 homolog	CIRH1A,cPERP-E
PMAIP1		Phorbol-12-myristate-13-acetate-induced protein 1	NOXA
UBL4A		Ubiquitin-like protein 4A	DXS254E,GDX,UBL4
WBP1L		WW domain binding protein 1-like	C10orf26,OPA1L
SPATA31D1		Spermatogenesis-associated protein 31D1	FAM75D1
IGFL2		Insulin growth factor-like family member 2	
SMIM23		Small integral membrane protein 23	C5orf50
MPP4		MAGUK p55 subfamily member 4	ALS2CR5,DLG6
HSP90AA1		Heat shock protein HSP 90-alpha	HSP90A
SNX15		Sorting nexin-15	
CGGBP1		CGG triplet repeat-binding protein 1	CGGBP
DDR2		Discoidin domain-containing receptor 2	NTRKR3,TKT,TYRO10
SLC25A27		Mitochondrial uncoupling protein 4	UCP4
PRDM4		PR domain zinc finger protein 4	PFM1
GCLC		Glutamate--cysteine ligase catalytic subunit	GLCL,GLCLC
ZNF195		Zinc finger protein 195	ZNFP104
WDR62		WD repeat-containing protein 62	C19orf14
SLAIN2		SLAIN motif-containing protein 2	
COX4I1		Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	COX4
ANKRD27		Ankyrin repeat domain-containing protein 27	PP12899
E2F6		Transcription factor E2F6	
PLVAP		Plasmalemma vesicle-associated protein	FELS,PV1
ZNF814		Zinc finger protein 814	
WDR38		WD repeat-containing protein 38	
BMPR2		Bone morphogenetic protein receptor type-2	PPH1
TRAM1L1		Translocating chain-associated membrane protein 1-like 1	
TOR1B		Torsin-1B	DQ1,FKSG18
ZBED8L		Protein ZBED8L	C7orf38,FAM200A
SERPINC1		Antithrombin-III	AT3
CREBBP		CREB-binding protein	CBP
ASAP1		Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1	DDEF1,PAG2
MTFP1		Mitochondrial fission process protein 1	MTP18,My022
SLC26A1		Sulfate anion transporter 1	SAT1
NEK11		Serine/threonine-protein kinase Nek11	
SNRK		SNF-related serine/threonine-protein kinase	SNFRK
ADAT3		tRNA-specific adenosine-34 deaminase regulatory subunit ADAT3	TAD3
RIC8B		Chaperone Ric-8B	
SGK3		Serine/threonine-protein kinase Sgk3	CISK,SGKL
GGT6		Glutathione hydrolase 6	
SURF4		Surfeit locus protein 4	SURF-4
NDST3		Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3	HSST3
DUSP5		Dual specificity protein phosphatase 5	VH3
ZNF620		Zinc finger protein 620	
TPPP		Tubulin polymerization-promoting protein	TPPP1
OR4A47		Olfactory receptor 4A47	
FAM229A		Protein FAM229A	
TADA3		Transcriptional adapter 3	ADA3,TADA3L
ZNF625		Zinc finger protein 625	
FAM156A		Protein FAM156A/FAM156B	TMEM29,PP12994,FAM156B,TMEM29B
DIPK1C		Divergent protein kinase domain 1C	C18orf51,FAM69C
PTPN13		Tyrosine-protein phosphatase non-receptor type 13	PNP1,PTP1E,PTPL1
ZNF593OS		Transmembrane protein ZNF593OS	
ALDH3B1		Aldehyde dehydrogenase family 3 member B1	ALDH7
MAK16		Protein MAK16 homolog	RBM13
IL12RB2		Interleukin-12 receptor subunit beta-2	
SPDYE13		Speedy protein E13	
MARS2		Methionine--tRNA ligase, mitochondrial	
KIAA0319		Dyslexia-associated protein KIAA0319	
MICALL1		MICAL-like protein 1	MIRAB13
PKNOX2		Homeobox protein PKNOX2	PREP2
FAM81A		Protein FAM81A	
ATXN10		Ataxin-10	SCA10
GPRC5B		G protein-coupled receptor family C group 5 member B	RAIG2
OAZ2		Ornithine decarboxylase antizyme 2	
LRRN3		Leucine-rich repeat neuronal protein 3	Nbla10363
ZNF277		Zinc finger protein 277	NRIF4,ZNF277P
FLYWCH1		FLYWCH-type zinc finger-containing protein 1	
MED6		Mediator of RNA polymerase II transcription subunit 6	ARC33
RASA4B		Ras GTPase-activating protein 4B	
TRAPPC2		Trafficking protein particle complex subunit 2	SEDL
HDDC3		Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1	MESH1
GNL1		Guanine nucleotide-binding protein-like 1	HSR1
CYP4F8		Cytochrome P450 4F8	
GFI1		Zinc finger protein Gfi-1	ZNF163
WNT16		Protein Wnt-16	
NR1D1		Nuclear receptor subfamily 1 group D member 1	EAR1,HREV,THRAL
IMPACT		Protein IMPACT	
ESF1		ESF1 homolog	ABTAP,C20orf6,HDCMC28P
FHL2		Four and a half LIM domains protein 2	DRAL,SLIM3
TOX4		TOX high mobility group box family member 4	C14orf92
LGALS3BP		Galectin-3-binding protein	M2BP
CCT5		T-complex protein 1 subunit epsilon	CCTE
ITIH6		Inter-alpha-trypsin inhibitor heavy chain H6	ITIH5L
POTEJ		POTE ankyrin domain family member J	
VPS33B		Vacuolar protein sorting-associated protein 33B	
PLEKHM2		Pleckstrin homology domain-containing family M member 2	SKIP
FAP		Prolyl endopeptidase FAP	
NDUFAF7		Protein arginine methyltransferase NDUFAF7, mitochondrial	C2orf56
LINGO2		Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2	LERN3,LRRN6C
ALPL		Alkaline phosphatase, tissue-nonspecific isozyme	
TNRC18		Trinucleotide repeat-containing gene 18 protein	CAGL79
BBIP1		BBSome-interacting protein 1	BBIP10,NCRNA00081
OR4D10		Olfactory receptor 4D10	OR4D10P
PRAMEF7		PRAME family member 7	
UROC1		Urocanate hydratase	
C2CD4C		C2 calcium-dependent domain-containing protein 4C	FAM148C,NLF3
AMY1C		Alpha-amylase 1C	AMY1
MORN2		MORN repeat-containing protein 2	MOPT
SELENOW		Selenoprotein W	SELW,SEPW1
CHST11		Carbohydrate sulfotransferase 11	
MYL12B		Myosin regulatory light chain 12B	MRLC2,MYLC2B
RTL1		Retrotransposon-like protein 1	MAR1,MART1,PEG11
ARX		Homeobox protein ARX	
MATR3		Matrin-3	
RPL7		Large ribosomal subunit protein uL30	
ELAPOR1		Endosome/lysosome-associated apoptosis and autophagy regulator 1	EIG121
DBT		Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	BCATE2,BCKDHE2
SHLD1		Shieldin complex subunit 1	C20orf196,RINN3
EMX2		Homeobox protein EMX2	
CA10		Carbonic anhydrase-related protein 10	hucep-15
SRSF5		Serine/arginine-rich splicing factor 5	HRS,SFRS5,SRP40
GHR		Growth hormone receptor	
OTOR		Otoraplin	FDP,MIAL
TCHHL1		Trichohyalin-like protein 1	S100A17,THHL1
ASB7		Ankyrin repeat and SOCS box protein 7	
ERN1		Serine/threonine-protein kinase/endoribonuclease IRE1	IRE1
BCL6B		B-cell CLL/lymphoma 6 member B protein	BAZF,ZNF62
SLC34A3		Sodium-dependent phosphate transport protein 2C	NPT2C,NPTIIC
ARHGEF40		Rho guanine nucleotide exchange factor 40	SOLO
NTRK2		BDNF/NT-3 growth factors receptor	TRKB
EDF1		Endothelial differentiation-related factor 1	
FBXO44		F-box only protein 44	FBG3,FBX30,FBX44,FBX6A
EGF		Pro-epidermal growth factor	
TPR		Nucleoprotein TPR	
LAMA1		Laminin subunit alpha-1	LAMA
SYT15B		Synaptotagmin-15B	
DDTL		Putative D-dopachrome decarboxylase-like protein	
LCE6A		Late cornified envelope protein 6A	C1orf44
IZUMO1		Izumo sperm-egg fusion protein 1	
ORAI2		Protein orai-2	C7orf19,CBCIP2,TMEM142B,PP1729
HOXC4		Homeobox protein Hox-C4	HOX3E
TTC32		Tetratricopeptide repeat protein 32	
ADIRF		Adipogenesis regulatory factor	AFRO,APM2,C10orf116
GFOD2		Glucose-fructose oxidoreductase domain-containing protein 2	
CHMP5		Charged multivesicular body protein 5	C9orf83,SNF7DC2,PNAS-114,PNAS-2
PHTF1		Protein PHTF1	PHTF
DRAM1		DNA damage-regulated autophagy modulator protein 1	DRAM
PXT1		Peroxisomal testis-specific protein 1	STEPP
BEST4		Bestrophin-4	VMD2L2
CABCOCO1		Ciliary-associated calcium-binding coiled-coil protein 1	C10orf107
IL1RAPL2		X-linked interleukin-1 receptor accessory protein-like 2	IL1R9
F11R		Junctional adhesion molecule A	JAM1,JCAM
FAM161A		Protein FAM161A	
MAEA		E3 ubiquitin-protein transferase MAEA	EMP,HLC10,PIG5
PPP4R4		Serine/threonine-protein phosphatase 4 regulatory subunit 4	PP4R4
COQ10B		Coenzyme Q-binding protein COQ10 homolog B, mitochondrial	
MPST		3-mercaptopyruvate sulfurtransferase	TST2
ADGRA1		Adhesion G protein-coupled receptor A1	GPR123
TAF11L2		TATA-box binding protein associated factor 11 like protein 2	
MED31		Mediator of RNA polymerase II transcription subunit 31	SOH1
MVB12B		Multivesicular body subunit 12B	C9orf28,FAM125B
DUSP22		Dual specificity protein phosphatase 22	JSP1,LMWDSP2,MKPX
MPPE1		Metallophosphoesterase 1	PGAP5,PP579
SBSN		Suprabasin	
GDPD2		Glycerophosphodiester phosphodiesterase 3	GDE3,OBDPF
SLC24A4		Sodium/potassium/calcium exchanger 4	NCKX4
ZNF92		Zinc finger protein 92	
NXPE2		NXPE family member 2	FAM55B
FAM237B		Protein FAM237B	
HYAL4		Hyaluronidase-4	
FSTL4		Follistatin-related protein 4	
LONP1		Lon protease homolog, mitochondrial	Lon,PRSS15
UBE2K		Ubiquitin-conjugating enzyme E2 K	HIP2,LIG
ZNF615		Zinc finger protein 615	
NOX1		NADPH oxidase 1	MOX1,NOH1
MAP7D1		MAP7 domain-containing protein 1	PARCC1,RPRC1,PP2464
STK17A		Serine/threonine-protein kinase 17A	DRAK1
HMSD		Serpin-like protein HMSD	
RRP9		U3 small nucleolar RNA-interacting protein 2	RNU3IP2,U355K
LIG1		DNA ligase 1	
ZC3H4		Zinc finger CCCH domain-containing protein 4	C19orf7
SERPINI2		Serpin I2	MEPI,PI14
CTSO		Cathepsin O	CTSO1
TACR1		Substance-P receptor	NK1R,TAC1R
ATXN7L3		Ataxin-7-like protein 3	
OR14K1		Olfactory receptor 14K1	OR5AY1
LIPC		Hepatic triacylglycerol lipase	HTGL
PGA3		Pepsin A-3	
LRAT		Lecithin retinol acyltransferase	
PITHD1		PITH domain-containing protein 1	C1orf128,AD039,HT014,PP603
SLC25A3		Solute carrier family 25 member 3	PHC
SLC27A5		Long-chain fatty acid transport protein 5	ACSB,ACSVL6,FACVL3,FATP5
HEPACAM		Hepatic and glial cell adhesion molecule	
AGPAT3		1-acyl-sn-glycerol-3-phosphate acyltransferase gamma	LPAAT3
ZNF844		Zinc finger protein 844	
TASOR2		Protein TASOR 2	C10orf18,FAM208B
MAFB		Transcription factor MafB	KRML
FITM2		Acyl-coenzyme A diphosphatase FITM2	C20orf142,FIT2
CLMB		Calcimembrin	C16orf74,MICT1
LYPD6B		Ly6/PLAUR domain-containing protein 6B	
HOXD10		Homeobox protein Hox-D10	HOX4D,HOX4E
FLNA		Filamin-A	FLN,FLN1
CACNA1S		Voltage-dependent L-type calcium channel subunit alpha-1S	CACH1,CACN1,CACNL1A3
CMTM8		CKLF-like MARVEL transmembrane domain-containing protein 8	CKLFSF8
ST6GALNAC4		Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase	SIAT3C,SIAT7D
HCFC1R1		Host cell factor C1 regulator 1	HPIP
TP53INP2		Tumor protein p53-inducible nuclear protein 2	C20orf110,DOR,PINH
WDR82		WD repeat-containing protein 82	SWD2,TMEM113,WDR82A
ARHGAP1		Rho GTPase-activating protein 1	CDC42GAP,RHOGAP1
PHGDH		D-3-phosphoglycerate dehydrogenase	PGDH3
PDIA3		Protein disulfide-isomerase A3	ERP57,ERP60,GRP58
MAP2K2		Dual specificity mitogen-activated protein kinase kinase 2	MEK2,MKK2,PRKMK2
TMSB15A		Thymosin beta-15A	TMSL8,TMSNB
CFAP299		Cilia- and flagella-associated protein 299	C4orf22
CNTN5		Contactin-5	
FUT6		4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6	FCT3A
OTUD7B		OTU domain-containing protein 7B	ZA20D1
TRPC5OS		Putative uncharacterized protein TRPC5OS	TRPC5-AS1
MCFD2		Multiple coagulation factor deficiency protein 2	SDNSF
RASSF5		Ras association domain-containing protein 5	NORE1,RAPL
HYKK		Hydroxylysine kinase	AGPHD1
ZFP41		Zinc finger protein 41 homolog	
METTL6		tRNA N(3)-cytidine methyltransferase METTL6	
GSTM4		Glutathione S-transferase Mu 4	
NUFIP1		FMR1-interacting protein NUFIP1	
SLC25A44		Solute carrier family 25 member 44	
STXBP1		Syntaxin-binding protein 1	UNC18A
SLC27A4		Long-chain fatty acid transport protein 4	ACSVL4,FATP4
MYF5		Myogenic factor 5	BHLHC2
ZNF99		Zinc finger protein 99	C19orf9
SCARF1		Scavenger receptor class F member 1	SREC
SLC26A2		Sulfate transporter	DTD,DTDST
OSGEPL1		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial	GCP1
RPS12		Small ribosomal subunit protein eS12	
TMEM245		Transmembrane protein 245	C9orf5
TTC5		Tetratricopeptide repeat protein 5	
CTNND2		Catenin delta-2	NPRAP
UBR7		Putative E3 ubiquitin-protein ligase UBR7	C14orf130
SLC39A12		Zinc transporter ZIP12	ZIP12
ROPN1		Ropporin-1A	ROPN1A
ZNF215		Zinc finger protein 215	BAZ2,ZKSCAN11
ILRUN		Protein ILRUN	C6orf106
PDLIM7		PDZ and LIM domain protein 7	ENIGMA
JAKMIP1		Janus kinase and microtubule-interacting protein 1	GABABRBP,JAMIP1,MARLIN1
KCNE3		Potassium voltage-gated channel subfamily E member 3	
HELT		Hairy and enhancer of split-related protein HELT	
TAAR8		Trace amine-associated receptor 8	GPR102,TA5,TAR5,TRAR5
SLCO1B7		Putative solute carrier organic anion transporter family member 1B7	LST3,LST3TM12
PLEKHG5		Pleckstrin homology domain-containing family G member 5	
MKRN2OS		MKRN2 opposite strand protein	C3orf83,MKRN2-AS1
HSPA6		Heat shock 70 kDa protein 6	HSP70B'
USP42		Ubiquitin carboxyl-terminal hydrolase 42	
FZD6		Frizzled-6	
USH1G		pre-mRNA splicing regulator USH1G	SANS
SERPINB3		Serpin B3	SCCA,SCCA1
MUL1		Mitochondrial ubiquitin ligase activator of NFKB 1	C1orf166,GIDE,MAPL,MULAN
OR52B2		Olfactory receptor 52B2	
SOX15		Transcription factor SOX-15	SOX12,SOX20,SOX26,SOX27
SUSD3		Sushi domain-containing protein 3	
MAPK7		Mitogen-activated protein kinase 7	BMK1,ERK5,PRKM7
OR4C46		Olfactory receptor 4C46	
OTUD4		OTU domain-containing protein 4	HIN-1
LRRC53		Leucine-rich repeat-containing protein 53	
ZXDB		Zinc finger X-linked protein ZXDB	
SUPT6H		Transcription elongation factor SPT6	SPT6H
TRUB2		Pseudouridylate synthase TRUB2, mitochondrial	
USP17L15		Ubiquitin carboxyl-terminal hydrolase 17-like protein 15	
CFAP157		Cilia- and flagella-associated protein 157	C9orf117
LHX9		LIM/homeobox protein Lhx9	
PHF24		PHD finger protein 24	
RBMY1F		RNA-binding motif protein, Y chromosome, family 1 member F/J	YRRM2;,RBMY1J
RTN3		Reticulon-3	ASYIP,NSPL2
PDRG1		p53 and DNA damage-regulated protein 1	C20orf126,PDRG
CELF5		CUGBP Elav-like family member 5	BRUNOL5
NFIA		Nuclear factor 1 A-type	
FTO		Alpha-ketoglutarate-dependent dioxygenase FTO	
RPL14		Large ribosomal subunit protein eL14	
EPCAM		Epithelial cell adhesion molecule	GA733-2,M1S2,M4S1,MIC18
FBXO40		F-box only protein 40	FBX40
OR4C11		Olfactory receptor 4C11	OR4C11P
ZNF623		Zinc finger protein 623	
VHLL		von Hippel-Lindau-like protein	VLP
PDE11A		Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A	
PRMT9		Protein arginine N-methyltransferase 9	PRMT10
CHST3		Carbohydrate sulfotransferase 3	
ZNF684		Zinc finger protein 684	
SRPX2		Sushi repeat-containing protein SRPX2	SRPUL
DLG5		Disks large homolog 5	PDLG
NXF5		Nuclear RNA export factor 5	TAPL1
TCEAL9		Transcription elongation factor A protein-like 9	WBP5
SRR		Serine racemase	
IL17RD		Interleukin-17 receptor D	IL17RLM,SEF
CDHR3		Cadherin-related family member 3	CDH28
TPT1		Translationally-controlled tumor protein	
FURIN		Furin	FUR,PACE,PCSK3
NOTCH2NLA		Notch homolog 2 N-terminal-like protein A	N2N,NOTCH2NL
INSYN2A		Inhibitory synaptic factor 2A	C10orf141,FAM196A,INSYN2
ATP1B4		Protein ATP1B4	
CDKN1C		Cyclin-dependent kinase inhibitor 1C	KIP2
CRIP2		Cysteine-rich protein 2	CRP2
SGSM3		Small G protein signaling modulator 3	MAP,RABGAPLP,RUTBC3
HAO1		2-Hydroxyacid oxidase 1	GOX1
UNCX		Homeobox protein unc-4 homolog	UNCX4.1
OR52E8		Olfactory receptor 52E8	
DPEP1		Dipeptidase 1	MDP,RDP
CRTC2		CREB-regulated transcription coactivator 2	TORC2
NEXN		Nexilin	
SCN7A		Sodium channel protein type 7 subunit alpha	SCN6A
CNKSR3		Connector enhancer of kinase suppressor of ras 3	MAGI1
LYZL4		Lysozyme-like protein 4	LYC4
AURKA		Aurora kinase A	AIK,AIRK1,ARK1,AURA
