# schizophrenia 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0005090) の関連遺伝子 500 件と、
# 承認薬の標的 39 件を必ず含む（重複を除いて 504 件）。
# 残り 4496 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
MPLKIP	M-phase specific PLK1 interacting protein	M-phase-specific PLK1-interacting protein
MPP4	MAGUK p55 scaffold protein 4	MAGUK p55 subfamily member 4
MPPED1	metallophosphoesterase domain containing 1	Metallophosphoesterase domain-containing protein 1
MPPED2	metallophosphoesterase domain containing 2	Metallophosphoesterase MPPED2
MPV17L	MPV17 mitochondrial inner membrane protein like	Mpv17-like protein
MPZL1	myelin protein zero like 1	Myelin protein zero-like protein 1
MPZL2	myelin protein zero like 2	Myelin protein zero-like protein 2
MRE11	MRE11 double strand break repair nuclease	Double-strand break repair protein MRE11
MRFAP1L1	Morf4 family associated protein 1 like 1	MORF4 family-associated protein 1-like 1
MRGBP	MRG domain binding protein	MRG/MORF4L-binding protein
MRGPRD	MAS related GPR family member D	Mas-related G protein-coupled receptor member D
MRGPRE	MAS related GPR family member E	Mas-related G protein-coupled receptor member E
MRGPRF	MAS related GPR family member F	Mas-related G protein-coupled receptor member F
MRGPRX2	MAS related GPR family member X2	Mas-related G protein-coupled receptor member X2
MRGPRX3	MAS related GPR family member X3	Mas-related G protein-coupled receptor member X3
MRI1	methylthioribose-1-phosphate isomerase 1	Methylthioribose-1-phosphate isomerase
MRLN	myoregulin	Myoregulin
MRM1	mitochondrial rRNA methyltransferase 1	rRNA methyltransferase 1, mitochondrial
MRM2	mitochondrial rRNA methyltransferase 2	rRNA methyltransferase 2, mitochondrial
MROH6	maestro heat like repeat family member 6	Maestro heat-like repeat-containing protein family member 6
MRPL13	mitochondrial ribosomal protein L13	Large ribosomal subunit protein uL13m
MRPL15	mitochondrial ribosomal protein L15	Large ribosomal subunit protein uL15m
MRPL19	mitochondrial ribosomal protein L19	Large ribosomal subunit protein bL19m
MRPL20	mitochondrial ribosomal protein L20	Large ribosomal subunit protein bL20m
MRPL28	mitochondrial ribosomal protein L28	Large ribosomal subunit protein bL28m
MRPL30	mitochondrial ribosomal protein L30	Large ribosomal subunit protein uL30m
MRPL32	mitochondrial ribosomal protein L32	Large ribosomal subunit protein bL32m
MRPL34	mitochondrial ribosomal protein L34	Large ribosomal subunit protein bL34m
MRPL35	mitochondrial ribosomal protein L35	Large ribosomal subunit protein bL35m
MRPL38	mitochondrial ribosomal protein L38	Large ribosomal subunit protein mL38
MRPL39	mitochondrial ribosomal protein L39	Large ribosomal subunit protein mL39
MRPL41	mitochondrial ribosomal protein L41	Large ribosomal subunit protein mL41
MRPL53	mitochondrial ribosomal protein L53	Large ribosomal subunit protein mL53
MRPL55	mitochondrial ribosomal protein L55	Large ribosomal subunit protein mL55
MRPS15	mitochondrial ribosomal protein S15	Small ribosomal subunit protein uS15m
MRPS18B	mitochondrial ribosomal protein S18B	Small ribosomal subunit protein mS40
MRPS21	mitochondrial ribosomal protein S21	Small ribosomal subunit protein bS21m
MRPS22	mitochondrial ribosomal protein S22	Small ribosomal subunit protein mS22
MRPS26	mitochondrial ribosomal protein S26	Small ribosomal subunit protein mS26
MRPS30	mitochondrial ribosomal protein S30	Large ribosomal subunit protein mL65
MRPS33	mitochondrial ribosomal protein S33	Small ribosomal subunit protein mS33
MRTFA	myocardin related transcription factor A	Myocardin-related transcription factor A
MRTFB	myocardin related transcription factor B	Myocardin-related transcription factor B
MS4A10	membrane spanning 4-domains A10	Membrane-spanning 4-domains subfamily A member 10
MS4A4A	membrane spanning 4-domains A4A	Membrane-spanning 4-domains subfamily A member 4A
MS4A7	membrane spanning 4-domains A7	Membrane-spanning 4-domains subfamily A member 7
MSANTD1	Myb/SANT DNA binding domain containing 1	Myb/SANT-like DNA-binding domain-containing protein 1
MSH6	mutS homolog 6	DNA mismatch repair protein Msh6
MSI2	musashi RNA binding protein 2	RNA-binding protein Musashi homolog 2
MSMO1	methylsterol monooxygenase 1	Methylsterol monooxygenase 1
MSRA	methionine sulfoxide reductase A	Mitochondrial peptide methionine sulfoxide reductase
MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6	ATP synthase F(0) complex subunit a
MT-CO2	mitochondrially encoded cytochrome c oxidase II	Cytochrome c oxidase subunit 2
MT-CYB	mitochondrially encoded cytochrome b	Cytochrome b
MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	NADH-ubiquinone oxidoreductase chain 3
MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	NADH-ubiquinone oxidoreductase chain 4
MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	NADH-ubiquinone oxidoreductase chain 4L
MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	NADH-ubiquinone oxidoreductase chain 5
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	NADH-ubiquinone oxidoreductase chain 6
MT1B	metallothionein 1B	Metallothionein-1B
MT1HL1	metallothionein 1H like 1	Metallothionein 1H-like protein 1
MT1X	metallothionein 1X	Metallothionein-1X
MTA2	metastasis associated 1 family member 2	Metastasis-associated protein MTA2
MTARC1	mitochondrial amidoxime reducing component 1	Mitochondrial amidoxime-reducing component 1
MTARC2	mitochondrial amidoxime reducing component 2	Mitochondrial amidoxime reducing component 2
MTCL3	MTCL family member 3	Microtubule cross-linking factor 3
MTERF1	mitochondrial transcription termination factor 1	Transcription termination factor 1, mitochondrial
MTERF3	mitochondrial transcription termination factor 3	Transcription termination factor 3, mitochondrial
MTF2	metal response element binding transcription factor 2	Metal-response element-binding transcription factor 2
MTFMT	mitochondrial methionyl-tRNA formyltransferase	Methionyl-tRNA formyltransferase, mitochondrial
MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1	C-1-tetrahydrofolate synthase, cytoplasmic
MTHFR	methylenetetrahydrofolate reductase	Methylenetetrahydrofolate reductase
MTHFSD	methenyltetrahydrofolate synthetase domain containing	Methenyltetrahydrofolate synthase domain-containing protein
MTMR11	myotubularin related protein 11	Myotubularin-related protein 11
MTMR12	myotubularin related protein 12	Myotubularin-related protein 12
MTMR8	myotubularin related protein 8	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR8
MTNR1B	melatonin receptor 1B	Melatonin receptor type 1B
MTPAP	mitochondrial poly(A) polymerase	Poly(A) RNA polymerase, mitochondrial
MTR	5-methyltetrahydrofolate-homocysteine methyltransferase	Methionine synthase
MTRF1	mitochondrial translation release factor 1	Peptide chain release factor 1, mitochondrial
MTRFR	mitochondrial translation release factor in rescue	Mitochondrial translation release factor in rescue
MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	Methionine synthase reductase
MTSS2	MTSS I-BAR domain containing 2	Protein MTSS 2
MTTP	microsomal triglyceride transfer protein	Microsomal triglyceride transfer protein large subunit
MTUS1	microtubule associated scaffold protein 1	Microtubule-associated tumor suppressor 1
MTUS2	microtubule associated scaffold protein 2	Microtubule-associated tumor suppressor candidate 2
MUC1	mucin 1, cell surface associated	Mucin-1
MUC3B	mucin 3B, cell surface associated	Mucin-3B
MUC5B	mucin 5B, oligomeric mucus/gel-forming	Mucin-5B
MUCL1	mucin like 1	Mucin-like protein 1
MUCL3	mucin like 3	Mucin-like protein 3
MUSK	muscle associated receptor tyrosine kinase	Muscle, skeletal receptor tyrosine-protein kinase
MUTYH	mutY DNA glycosylase	Adenine DNA glycosylase
MVK	mevalonate kinase	Mevalonate kinase
MX2	MX dynamin like GTPase 2	Interferon-induced GTP-binding protein Mx2
MXD3	MAX dimerization protein 3	Max dimerization protein 3
MXRA5	matrix remodeling associated 5	Matrix-remodeling-associated protein 5
MXRA7	matrix remodeling associated 7	Matrix-remodeling-associated protein 7
MYB	MYB proto-oncogene, transcription factor	Transcriptional activator Myb
MYBL1	MYB proto-oncogene like 1	Myb-related protein A
MYBPC1	myosin binding protein C1	Myosin-binding protein C, slow-type
MYH13	myosin heavy chain 13	Myosin-13
MYH14	myosin heavy chain 14	Myosin-14
MYH6	myosin heavy chain 6	Myosin-6
MYH7	myosin heavy chain 7	Myosin-7
MYH8	myosin heavy chain 8	Myosin-8
MYL10	myosin light chain 10	Myosin regulatory light chain 10
MYL2	myosin light chain 2	Myosin regulatory light chain 2, ventricular/cardiac muscle isoform
MYL3	myosin light chain 3	Myosin light chain 3
MYL5	myosin light chain 5	Myosin light chain 5
MYNN	myoneurin	Myoneurin
MYO16	myosin XVI	Unconventional myosin-XVI
MYO19	myosin XIX	Unconventional myosin-XIX
MYO5B	myosin VB	Unconventional myosin-Vb
MYO7B	myosin VIIB	Unconventional myosin-VIIb
MYOZ2	myozenin 2	Myozenin-2
MYPN	myopalladin	Myopalladin
MYRF	myelin regulatory factor	Myelin regulatory factor
MYT1L	myelin transcription factor 1 like	Myelin transcription factor 1-like protein
MYZAP	myocardial zonula adherens protein	Myocardial zonula adherens protein
MZB1	marginal zone B and B1 cell specific protein	Marginal zone B- and B1-cell-specific protein
MZT2A	mitotic spindle organizing protein 2A	Mitotic-spindle organizing protein 2A
N4BP1	NEDD4 binding protein 1	NEDD4-binding protein 1
N4BP2	NEDD4 binding protein 2	NEDD4-binding protein 2
N4BP2L2	NEDD4 binding protein 2 like 2	NEDD4-binding protein 2-like 2
NAA10	N-alpha-acetyltransferase 10, NatA catalytic subunit	N-alpha-acetyltransferase 10
NAA11	N-alpha-acetyltransferase 11, NatA catalytic subunit	N-alpha-acetyltransferase 11
NAA80	N-alpha-acetyltransferase 80, NatH catalytic subunit	N-alpha-acetyltransferase 80
NAB2	NGFI-A binding protein 2	NGFI-A-binding protein 2
NACAD	NAC alpha domain containing	NAC-alpha domain-containing protein 1
NACC1	nucleus accumbens associated 1	Nucleus accumbens-associated protein 1
NADSYN1	NAD synthetase 1	Glutamine-dependent NAD(+) synthetase
NAE1	NEDD8 activating enzyme E1 subunit 1	NEDD8-activating enzyme E1 regulatory subunit
NAGK	N-acetylglucosamine kinase	N-acetyl-D-glucosamine kinase
NAIP	NLR family apoptosis inhibitory protein	Baculoviral IAP repeat-containing protein 1
NALCN	sodium leak channel, non-selective	Sodium leak channel NALCN
NANOS1	nanos C2HC-type zinc finger 1	Nanos homolog 1
NANOS2	nanos C2HC-type zinc finger 2	Nanos homolog 2
NAP1L1	nucleosome assembly protein 1 like 1	Nucleosome assembly protein 1-like 1
NAP1L4	nucleosome assembly protein 1 like 4	Nucleosome assembly protein 1-like 4
NAPA	NSF attachment protein alpha	Alpha-soluble NSF attachment protein
NAPB	NSF attachment protein beta	Beta-soluble NSF attachment protein
NASP	nuclear autoantigenic sperm protein	Nuclear autoantigenic sperm protein
NAT2	N-acetyltransferase 2	Arylamine N-acetyltransferase 2
NAV2	neuron navigator 2	Neuron navigator 2
NAXD	NAD(P)HX dehydratase	ATP-dependent
NBL1	NBL1, DAN family BMP antagonist	Neuroblastoma suppressor of tumorigenicity 1
NBN	nibrin	Nibrin
NBPF26	NBPF member 26	NBPF family member NBPF26
NCALD	neurocalcin delta	Neurocalcin-delta
NCAM1	neural cell adhesion molecule 1	Neural cell adhesion molecule 1
NCAM2	neural cell adhesion molecule 2	Neural cell adhesion molecule 2
NCAPD3	non-SMC condensin II complex subunit D3	Condensin-2 complex subunit D3
NCAPG2	non-SMC condensin II complex subunit G2	Condensin-2 complex subunit G2
NCBP1	nuclear cap binding protein subunit 1	Nuclear cap-binding protein subunit 1
NCBP2	nuclear cap binding protein subunit 2	Nuclear cap-binding protein subunit 2
NCBP2L	nuclear cap binding protein subunit 2 like	Nuclear cap-binding protein subunit 2-like
NCCRP1	NCCRP1, F-box associated domain containing	F-box only protein 50
NCF4	neutrophil cytosolic factor 4	Neutrophil cytosol factor 4
NCK1	NCK adaptor protein 1	SH2/SH3 adapter protein NCK1
NCOA2	nuclear receptor coactivator 2	Nuclear receptor coactivator 2
NCOR1	nuclear receptor corepressor 1	Nuclear receptor corepressor 1
NDEL1	nudE neurodevelopment protein 1 like 1	Nuclear distribution protein nudE-like 1
NDN	necdin, MAGE family member	Necdin
NDST3	N-deacetylase and N-sulfotransferase 3	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 3
NDUFA10	NADH:ubiquinone oxidoreductase subunit A10	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial
NDUFA12	NADH:ubiquinone oxidoreductase subunit A12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
NDUFA3	NADH:ubiquinone oxidoreductase subunit A3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3
NDUFA6	NADH:ubiquinone oxidoreductase subunit A6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
NDUFA7	NADH:ubiquinone oxidoreductase subunit A7	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7
NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1	Acyl carrier protein, mitochondrial
NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2
NDUFAF4	NADH:ubiquinone oxidoreductase complex assembly factor 4	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	Arginine-hydroxylase NDUFAF5, mitochondrial
NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	Protein arginine methyltransferase NDUFAF7, mitochondrial
NDUFB2	NADH:ubiquinone oxidoreductase subunit B2	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 2, mitochondrial
NDUFB4	NADH:ubiquinone oxidoreductase subunit B4	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4
NDUFB6	NADH:ubiquinone oxidoreductase subunit B6	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6
NDUFB9	NADH:ubiquinone oxidoreductase subunit B9	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9
NDUFC1	NADH:ubiquinone oxidoreductase subunit C1	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial
NDUFS1	NADH:ubiquinone oxidoreductase core subunit S1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
NDUFS2	NADH:ubiquinone oxidoreductase core subunit S2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial
NDUFS4	NADH:ubiquinone oxidoreductase subunit S4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial
NDUFS7	NADH:ubiquinone oxidoreductase core subunit S7	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial
NDUFV1	NADH:ubiquinone oxidoreductase core subunit V1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial
NDUFV2	NADH:ubiquinone oxidoreductase core subunit V2	NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial
NEBL	nebulette	Nebulette
NECAP1	NECAP endocytosis associated 1	Adaptin ear-binding coat-associated protein 1
NEDD4L	NEDD4 like E3 ubiquitin protein ligase	E3 ubiquitin-protein ligase NEDD4-like
NEFH	neurofilament heavy chain	Neurofilament heavy polypeptide
NEFM	neurofilament medium chain	Neurofilament medium polypeptide
NEGR1	neuronal growth regulator 1	Neuronal growth regulator 1
NEIL1	nei like DNA glycosylase 1	Endonuclease 8-like 1
NEK11	NIMA related kinase 11	Serine/threonine-protein kinase Nek11
NEK4	NIMA related kinase 4	Serine/threonine-protein kinase Nek4
NELFB	negative elongation factor complex member B	Negative elongation factor B
NELFCD	negative elongation factor complex member C/D	Negative elongation factor C/D
NELFE	negative elongation factor complex member E	Negative elongation factor E
NENF	neudesin neurotrophic factor	Neudesin
NEO1	neogenin 1	Neogenin
NEU4	neuraminidase 4	Sialidase-4
NEURL4	neuralized E3 ubiquitin protein ligase 4	Neuralized-like protein 4
NEUROD6	neuronal differentiation 6	Neurogenic differentiation factor 6
NEXMIF	neurite extension and migration factor	Neurite extension and migration factor
NF1	neurofibromin 1	Neurofibromin
NFE2L2	NFE2 like bZIP transcription factor 2	Nuclear factor erythroid 2-related factor 2
NFIA	nuclear factor I A	Nuclear factor 1 A-type
NFIB	nuclear factor I B	Nuclear factor 1 B-type
NFIL3	nuclear factor, interleukin 3 regulated	Nuclear factor interleukin-3-regulated protein
NFKB2	nuclear factor kappa B subunit 2	Nuclear factor NF-kappa-B p100 subunit
NFKBIA	NFKB inhibitor alpha	NF-kappa-B inhibitor alpha
NFX1	nuclear transcription factor, X-box binding 1	Transcriptional repressor NF-X1
NFXL1	nuclear transcription factor, X-box binding like 1	NF-X1-type zinc finger protein NFXL1
NGB	neuroglobin	Neuroglobin
NGDN	neuroguidin	Neuroguidin
NGEF	neuronal guanine nucleotide exchange factor	Ephexin-1
NGF	nerve growth factor	Beta-nerve growth factor
NHEJ1	non-homologous end joining factor 1	Non-homologous end-joining factor 1
NHLH1	nescient helix-loop-helix 1	Helix-loop-helix protein 1
NHP2	NHP2 ribonucleoprotein	H/ACA ribonucleoprotein complex subunit 2
NHS	NHS actin remodeling regulator	Actin remodeling regulator NHS
NHSL2	NHS like 2	NHS-like protein 2
NIBAN3	niban apoptosis regulator 3	Protein Niban 3
NIF3L1	NGG1 interacting factor 3 like 1	NIF3-like protein 1
NIFK	nucleolar protein interacting with the FHA domain of MKI67	MKI67 FHA domain-interacting nucleolar phosphoprotein
NIPAL1	NIPA like domain containing 1	Magnesium transporter NIPA3
NIT2	nitrilase family member 2	Omega-amidase NIT2
NKAIN2	sodium/potassium transporting ATPase interacting 2	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 2
NKAIN3	sodium/potassium transporting ATPase interacting 3	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3
NKAPD1	NKAP domain containing 1	Uncharacterized protein NKAPD1
NKIRAS1	NFKB inhibitor interacting Ras like 1	NF-kappa-B inhibitor-interacting Ras-like protein 1
NKX2-4	NK2 homeobox 4	Homeobox protein Nkx-2.4
NKX3-2	NK3 homeobox 2	Homeobox protein Nkx-3.2
NKX6-2	NK6 homeobox 2	Homeobox protein Nkx-6.2
NLGN3	neuroligin 3	Neuroligin-3
NLGN4X	neuroligin 4 X-linked	Neuroligin-4, X-linked
NLGN4Y	neuroligin 4 Y-linked	Neuroligin-4, Y-linked
NLRP10	NLR family pyrin domain containing 10	NACHT, LRR and PYD domains-containing protein 10
NLRP3	NLR family pyrin domain containing 3	NACHT, LRR and PYD domains-containing protein 3
NLRP8	NLR family pyrin domain containing 8	NACHT, LRR and PYD domains-containing protein 8
NMB	neuromedin B	Neuromedin-B [Cleaved into: Neuromedin-B-32; Neuromedin-B]
NMD3	NMD3 ribosome export adaptor	60S ribosomal export protein NMD3
NME3	NME/NM23 nucleoside diphosphate kinase 3	Nucleoside diphosphate kinase C
NMNAT1	nicotinamide nucleotide adenylyltransferase 1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1
NMNAT3	nicotinamide nucleotide adenylyltransferase 3	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3
NMS	neuromedin S	Neuromedin-S
NMT2	N-myristoyltransferase 2	Glycylpeptide N-tetradecanoyltransferase 2
NMUR2	neuromedin U receptor 2	Neuromedin-U receptor 2
NOM1	nucleolar protein with MIF4G domain 1	Nucleolar MIF4G domain-containing protein 1
NOTCH2NLC	notch 2 N-terminal like C	Notch homolog 2 N-terminal-like protein C
NOVA1	NOVA alternative splicing regulator 1	RNA-binding protein Nova-1
NOX3	NADPH oxidase 3	NADPH oxidase 3
NOX4	NADPH oxidase 4	NADPH oxidase 4
NOX5	NADPH oxidase 5	NADPH oxidase 5
NPAS3	neuronal PAS domain protein 3	Neuronal PAS domain-containing protein 3
NPC1	NPC intracellular cholesterol transporter 1	NPC intracellular cholesterol transporter 1
NPDC1	neural proliferation, differentiation and control 1	Neural proliferation differentiation and control protein 1
NPEPL1	aminopeptidase like 1	Probable aminopeptidase NPEPL1
NPIPA2	nuclear pore complex interacting protein family member A2	Nuclear pore complex-interacting protein family member A2
NPIPB12	nuclear pore complex interacting protein family member B12	Nuclear pore complex-interacting protein family member B12
NPIPB2	nuclear pore complex interacting protein family member B2	Nuclear pore complex-interacting protein family member B2
NPIPB9	nuclear pore complex interacting protein family member B9	Nuclear pore complex-interacting protein family member B9
NPL	N-acetylneuraminate pyruvate lyase	N-acetylneuraminate lyase
NPLOC4	NPL4 homolog, ubiquitin recognition factor	Nuclear protein localization protein 4 homolog
NPM1	nucleophosmin 1	Nucleophosmin
NPS	neuropeptide S	Neuropeptide S
NPY5R	neuropeptide Y receptor Y5	Neuropeptide Y receptor type 5
NQO1	NAD(P)H quinone dehydrogenase 1	NAD(P)H dehydrogenase [quinone] 1
NR1D2	nuclear receptor subfamily 1 group D member 2	Nuclear receptor subfamily 1 group D member 2
NR2E1	nuclear receptor subfamily 2 group E member 1	Nuclear receptor subfamily 2 group E member 1
NR4A1	nuclear receptor subfamily 4 group A member 1	Nuclear receptor subfamily 4immunitygroup A member 1
NR6A1	nuclear receptor subfamily 6 group A member 1	Nuclear receptor subfamily 6 group A member 1
NRARP	NOTCH regulated ankyrin repeat protein	Notch-regulated ankyrin repeat-containing protein
NRBF2	nuclear receptor binding factor 2	Nuclear receptor-binding factor 2
NRBP2	nuclear receptor binding protein 2	Nuclear receptor-binding protein 2
NRG2	neuregulin 2	Pro-neuregulin-2, membrane-bound isoform
NRGN	neurogranin	Neurogranin
NRIP1	nuclear receptor interacting protein 1	Nuclear receptor-interacting protein 1
NRIP3	nuclear receptor interacting protein 3	Nuclear receptor-interacting protein 3
NRXN1	neurexin 1	Neurexin-1-beta
NRXN2	neurexin 2	Neurexin-2-beta
NRXN3	neurexin 3	Neurexin-3-beta
NSDHL	NAD(P) dependent 3-beta-hydroxysteroid dehydrogenase NSDHL	Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating
NSFL1C	NSFL1 cofactor	NSFL1 cofactor p47
NSMCE3	NSE3 component of SMC5/6 complex	Non-structural maintenance of chromosomes element 3 homolog
NSMCE4A	NSE4A component of SMC5/6 complex	Non-structural maintenance of chromosomes element 4 homolog A
NSRP1	nuclear speckle splicing regulatory protein 1	Nuclear speckle splicing regulatory protein 1
NSUN2	NOP2/Sun RNA methyltransferase 2	RNA cytosine C(5)-methyltransferase NSUN2
NSUN5	NOP2/Sun RNA methyltransferase 5	28S rRNA
NSUN6	NOP2/Sun RNA methyltransferase 6	tRNA
NT5C	5', 3'-nucleotidase, cytosolic	5'(3')-deoxyribonucleotidase, cytosolic type
NT5C1A	5'-nucleotidase, cytosolic IA	Cytosolic 5'-nucleotidase 1A
NT5C2	5'-nucleotidase, cytosolic II	Cytosolic purine 5'-nucleotidase
NTAQ1	N-terminal glutamine amidase 1	Protein N-terminal glutamine amidohydrolase
NTF4	neurotrophin 4	Neurotrophin-4
NTMT2	N-terminal Xaa-Pro-Lys N-methyltransferase 2	N-terminal Xaa-Pro-Lys N-methyltransferase 2
NTN5	netrin 5	Netrin-5
NTNG2	netrin G2	Netrin-G2
NTRK3	neurotrophic receptor tyrosine kinase 3	NT-3 growth factor receptor
NUAK1	NUAK family kinase 1	NUAK family SNF1-like kinase 1
NUDCD1	NudC domain containing 1	NudC domain-containing protein 1
NUDT12	nudix hydrolase 12	NAD-capped RNA hydrolase NUDT12
NUDT19	nudix hydrolase 19	Acyl-coenzyme A diphosphatase NUDT19
NUDT2	nudix hydrolase 2	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]
NUP133	nucleoporin 133	Nuclear pore complex protein Nup133
NUP155	nucleoporin 155	Nuclear pore complex protein Nup155
NUP160	nucleoporin 160	Nuclear pore complex protein Nup160
NUP210L	nucleoporin 210 like	Nuclear pore membrane glycoprotein 210-like
NUP35	nucleoporin 35	Nucleoporin NUP35
NUP58	nucleoporin 58	Nucleoporin p58/p45
NUS1	NUS1 dehydrodolichyl diphosphate synthase subunit	Dehydrodolichyl diphosphate synthase complex subunit NUS1
NUTM2B	NUT family member 2B	NUT family member 2B
NWD2	NACHT and WD repeat domain containing 2	NACHT and WD repeat domain-containing protein 2
NXNL1	nucleoredoxin like 1	Nucleoredoxin-like protein 1
NXPH1	neurexophilin 1	Neurexophilin-1
NXT1	nuclear transport factor 2 like export factor 1	NTF2-related export protein 1
OARD1	O-acyl-ADP-ribose deacylase 1	ADP-ribose glycohydrolase OARD1
OASL	2'-5'-oligoadenylate synthetase like	2'-5'-oligoadenylate synthase-like protein
OBP2A	odorant binding protein 2A	Odorant-binding protein 2a
OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF	Obscurin
OCA2	OCA2 melanosomal transmembrane protein	P protein
OCRL	OCRL inositol polyphosphate-5-phosphatase	Inositol polyphosphate 5-phosphatase OCRL
ODAD1	outer dynein arm docking complex subunit 1	Outer dynein arm-docking complex subunit 1
ODC1	ornithine decarboxylase 1	Ornithine decarboxylase
ODF4	outer dense fiber of sperm tails 4	Outer dense fiber protein 4
OFD1	OFD1 centriole and centriolar satellite protein	Centriole and centriolar satellite protein OFD1
OGA	O-GlcNAcase	Protein O-GlcNAcase
OGDH	oxoglutarate dehydrogenase	2-oxoglutarate dehydrogenase complex component E1
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit
OIT3	oncoprotein induced transcript 3	Oncoprotein-induced transcript 3 protein
OLFM4	olfactomedin 4	Olfactomedin-4
OLFML2B	olfactomedin like 2B	Olfactomedin-like protein 2B
OMG	oligodendrocyte myelin glycoprotein	Oligodendrocyte-myelin glycoprotein
OOSP2	oocyte secreted protein 2	Oocyte-secreted protein 2
OOSP3	oocyte secreted protein family member 3	Oocyte-secreted protein 3
OOSP4B	oocyte secreted protein family member 4B	Oocyte-secreted protein 4B
OPCML	opioid binding protein/cell adhesion molecule like	Opioid-binding protein/cell adhesion molecule
OPHN1	oligophrenin 1	Oligophrenin-1
OPN1MW	opsin 1, medium wave sensitive	Medium-wave-sensitive opsin 1
OPRD1	opioid receptor delta 1	Delta-type opioid receptor
OPRK1	opioid receptor kappa 1	Kappa-type opioid receptor
OPRM1	opioid receptor mu 1	Mu-type opioid receptor
OR10A2	olfactory receptor family 10 subfamily A member 2	Olfactory receptor 10A2
OR10A3	olfactory receptor family 10 subfamily A member 3	Olfactory receptor 10A3
OR10A4	olfactory receptor family 10 subfamily A member 4	Olfactory receptor 10A4
OR10A5	olfactory receptor family 10 subfamily A member 5	Olfactory receptor 10A5
OR10A6	olfactory receptor family 10 subfamily A member 6 (gene/pseudogene)	Olfactory receptor 10A6
OR10A7	olfactory receptor family 10 subfamily A member 7	Olfactory receptor 10A7
OR10D3	olfactory receptor family 10 subfamily D member 3	Olfactory receptor 10D3
OR10H1	olfactory receptor family 10 subfamily H member 1	Olfactory receptor 10H1
OR10H3	olfactory receptor family 10 subfamily H member 3	Olfactory receptor 10H3
OR10H4	olfactory receptor family 10 subfamily H member 4	Olfactory receptor 10H4
OR10J3	olfactory receptor family 10 subfamily J member 3 (gene/pseudogene)	Olfactory receptor 10J3
OR10W1	olfactory receptor family 10 subfamily W member 1	Olfactory receptor 10W1
OR10X1	olfactory receptor family 10 subfamily X member 1	Olfactory receptor 10X1
