# cystinuria 用の候補リスト（5000 遺伝子）
# Open Targets (MONDO_0009067) の関連遺伝子 397 件と、
# 承認薬の標的 8 件を必ず含む（重複を除いて 397 件）。
# 残り 4603 件は HGNC approved/protein-coding から seed=0 で無作為に補充。
# 記号はすべて実在し、既知の正解が確実に含まれる。
# 形式: 記号<TAB>HGNC正式名<TAB>UniProt推奨タンパク質名（無い遺伝子は空欄）
A2ML1	alpha-2-macroglobulin like 1	Alpha-2-macroglobulin-like protein 1
LEMD3	LEM domain containing 3	Inner nuclear membrane protein Man1
LENEP	lens epithelial protein	Lens epithelial cell protein LEP503
LEP	leptin	Leptin
LEPR	leptin receptor	Leptin receptor
LETM1	leucine zipper and EF-hand containing transmembrane protein 1	Mitochondrial proton/calcium exchanger protein
LETM2	leucine zipper and EF-hand containing transmembrane protein 2	LETM1 domain-containing protein LETM2, mitochondrial
LETMD1	LETM1 domain containing 1	LETM1 domain-containing protein 1
LGALS1	galectin 1	Galectin-1
LGALS4	galectin 4	Galectin-4
LGALS7B	galectin 7B	
LGALS9	galectin 9	Galectin-9
LGALS9B	galectin 9B	Galectin-9B
LGI4	leucine rich repeat LGI family member 4	Leucine-rich repeat LGI family member 4
LGMN	legumain	Legumain
LGR4	leucine rich repeat containing G protein-coupled receptor 4	Leucine-rich repeat-containing G protein-coupled receptor 4
LGR5	leucine rich repeat containing G protein-coupled receptor 5	Leucine-rich repeat-containing G protein-coupled receptor 5
LHFPL4	LHFPL tetraspan subfamily member 4	LHFPL tetraspan subfamily member 4 protein
LHFPL5	LHFPL tetraspan subfamily member 5	LHFPL tetraspan subfamily member 5 protein
LHX2	LIM homeobox 2	LIM/homeobox protein Lhx2
LIAS	lipoic acid synthetase	Lipoyl synthase, mitochondrial
LIAT1	ligand of ATE1	Protein LIAT1
LIF	LIF interleukin 6 family cytokine	Leukemia inhibitory factor
LIG3	DNA ligase 3	DNA ligase 3
LILRA4	leukocyte immunoglobulin like receptor A4	Leukocyte immunoglobulin-like receptor subfamily A member 4
LILRA5	leukocyte immunoglobulin like receptor A5	Leukocyte immunoglobulin-like receptor subfamily A member 5
LIMCH1	LIM and calponin homology domains 1	LIM and calponin homology domains-containing protein 1
LIMD1	LIM domain containing 1	LIM domain-containing protein 1
LIMD2	LIM domain containing 2	LIM domain-containing protein 2
LIMS2	LIM zinc finger domain containing 2	LIM and senescent cell antigen-like-containing domain protein 2
LIMS3	LIM zinc finger domain containing 3	LIM and senescent cell antigen-like-containing domain protein 3
LIN28B	lin-28 RNA binding posttranscriptional regulator B	Protein lin-28 homolog B
LIN7A	lin-7 cell polarity scaffold A	Protein lin-7 homolog A
LIN7C	lin-7 cell polarity scaffold C	Protein lin-7 homolog C
LINGO4	leucine rich repeat and Ig domain containing 4	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting pr
LIPI	lipase I	Lipase member I
LKAAEAR1	LKAAEAR motif containing 1	Protein LKAAEAR1
LLGL2	LLGL scribble cell polarity complex component 2	LLGL scribble cell polarity complex component 2
LMBRD2	LMBR1 domain containing 2	G protein-coupled receptor-associated protein LMBRD2
LMF1	lipase maturation factor 1	Lipase maturation factor 1
LMLN	leishmanolysin like peptidase	Leishmanolysin-like peptidase
LMNB2	lamin B2	Lamin-B2
LMOD3	leiomodin 3	Leiomodin-3
LNPK	lunapark, ER junction formation factor	Endoplasmic reticulum junction formation protein lunapark
LNX1	ligand of numb-protein X 1	E3 ubiquitin-protein ligase LNX
LNX2	ligand of numb-protein X 2	Ligand of Numb protein X 2
LORICRIN	loricrin cornified envelope precursor protein	Loricrin
LOXHD1	lipoxygenase homology PLAT domains 1	Lipoxygenase homology domain-containing protein 1
LOXL2	lysyl oxidase like 2	Lysyl oxidase homolog 2
LPAR1	lysophosphatidic acid receptor 1	Lysophosphatidic acid receptor 1
LPAR3	lysophosphatidic acid receptor 3	Lysophosphatidic acid receptor 3
LPCAT1	lysophosphatidylcholine acyltransferase 1	Lysophosphatidylcholine acyltransferase 1
LPIN3	lipin 3	Phosphatidate phosphatase LPIN3
LPL	lipoprotein lipase	Lipoprotein lipase
LPO	lactoperoxidase	Lactoperoxidase
LPP	LIM domain containing preferred translocation partner in lipoma	Lipoma-preferred partner
LRAT	lecithin retinol acyltransferase	Lecithin retinol acyltransferase
LRATD1	LRAT domain containing 1	Protein LRATD1
LRBA	LPS responsive beige-like anchor protein	Lipopolysaccharide-responsive and beige-like anchor protein
LRFN1	leucine rich repeat and fibronectin type III domain containing 1	Leucine-rich repeat and fibronectin type III domain-containing protein 1
LRFN5	leucine rich repeat and fibronectin type III domain containing 5	Leucine-rich repeat and fibronectin type-III domain-containing protein 5
LRIG3	leucine rich repeats and immunoglobulin like domains 3	Leucine-rich repeats and immunoglobulin-like domains protein 3
LRIT2	leucine rich repeat, Ig-like and transmembrane domains 2	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protei
LRIT3	leucine rich repeat, Ig-like and transmembrane domains 3	Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protei
LRP2	LDL receptor related protein 2	Low-density lipoprotein receptor-related protein 2
LRP2BP	LRP2 binding protein	LRP2-binding protein
LRP3	LDL receptor related protein 3	Low-density lipoprotein receptor-related protein 3
LRPAP1	LDL receptor related protein associated protein 1	Alpha-2-macroglobulin receptor-associated protein
LRPPRC	leucine rich pentatricopeptide repeat containing	Leucine-rich PPR motif-containing protein, mitochondrial
LRRC1	leucine rich repeat containing 1	Leucine-rich repeat-containing protein 1
LRRC20	leucine rich repeat containing 20	Leucine-rich repeat-containing protein 20
LRRC26	leucine rich repeat containing 26	Leucine-rich repeat-containing protein 26
LRRC27	leucine rich repeat containing 27	Leucine-rich repeat-containing protein 27
LRRC28	leucine rich repeat containing 28	Leucine-rich repeat-containing protein 28
LRRC3	leucine rich repeat containing 3	Leucine-rich repeat-containing protein 3
LRRC32	leucine rich repeat containing 32	Transforming growth factor beta activator LRRC32
LRRC34	leucine rich repeat containing 34	Leucine-rich repeat-containing protein 34
LRRC36	leucine rich repeat containing 36	Leucine-rich repeat-containing protein 36
LRRC37A2	leucine rich repeat containing 37 member A2	Leucine-rich repeat-containing protein 37A2
LRRC40	leucine rich repeat containing 40	Leucine-rich repeat-containing protein 40
LRRC45	leucine rich repeat containing 45	Leucine-rich repeat-containing protein 45
LRRC55	leucine rich repeat containing 55	Leucine-rich repeat-containing protein 55
LRRC57	leucine rich repeat containing 57	Leucine-rich repeat-containing protein 57
LRRC59	leucine rich repeat containing 59	Leucine-rich repeat-containing protein 59
LRRC61	leucine rich repeat containing 61	Leucine-rich repeat-containing protein 61
LRRC70	leucine rich repeat containing 70	Leucine-rich repeat-containing protein 70
LRRC72	leucine rich repeat containing 72	Leucine-rich repeat-containing protein 72
LRRC74A	leucine rich repeat containing 74A	Leucine-rich repeat-containing protein 74A
LRRC74BNL	LRRC74B N-terminal like	
LRRC75A	leucine rich repeat containing 75A	Leucine-rich repeat-containing protein 75A
LRRC9	leucine rich repeat containing 9	Leucine-rich repeat-containing protein 9
LRRCC1	leucine rich repeat and coiled-coil centrosomal protein 1	Leucine-rich repeat and coiled-coil domain-containing protein 1
LRRFIP1	LRR binding FLII interacting protein 1	Leucine-rich repeat flightless-interacting protein 1
LRRIQ1	leucine rich repeats and IQ motif containing 1	Leucine-rich repeat- and IQ domain-containing protein 1
LRRIQ4	leucine rich repeats and IQ motif containing 4	Leucine-rich repeat and IQ domain-containing protein 4
LRRK2	leucine rich repeat kinase 2	Leucine-rich repeat serine/threonine-protein kinase 2
LRRN2	leucine rich repeat neuronal 2	Leucine-rich repeat neuronal protein 2
LRRN3	leucine rich repeat neuronal 3	Leucine-rich repeat neuronal protein 3
LRRTM1	leucine rich repeat transmembrane neuronal 1	Leucine-rich repeat transmembrane neuronal protein 1
LRRTM2	leucine rich repeat transmembrane neuronal 2	Leucine-rich repeat transmembrane neuronal protein 2
LRWD1	leucine rich repeats and WD repeat domain containing 1	Leucine-rich repeat and WD repeat-containing protein 1
LSM14B	LSM family member 14B	Protein LSM14 homolog B
LSM3	LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated	U6 snRNA-associated Sm-like protein LSm3
LSM7	LSM7 homolog, U6 small nuclear RNA and mRNA degradation associated	U6 snRNA-associated Sm-like protein LSm7
LSM8	LSM8 homolog, U6 small nuclear RNA associated	U6 snRNA-associated Sm-like protein LSm8
LSP1	lymphocyte specific protein 1	Lymphocyte-specific protein 1
LST1	leukocyte specific transcript 1	Leukocyte-specific transcript 1 protein
LTA	lymphotoxin alpha	Lymphotoxin-alpha
LTAP1	lipid transport auxiliary protein 1	Lipid transport auxiliary protein 1
LTB4R	leukotriene B4 receptor	Leukotriene B4 receptor 1
LTBP4	latent transforming growth factor beta binding protein 4	Latent-transforming growth factor beta-binding protein 4
LTC4S	leukotriene C4 synthase	Leukotriene C4 synthase
LTK	leukocyte receptor tyrosine kinase	Leukocyte tyrosine kinase receptor
LUC7L2	LUC7 like 2, pre-mRNA splicing factor	Putative RNA-binding protein Luc7-like 2
LUM	lumican	Lumican
LUZP2	leucine zipper protein 2	Leucine zipper protein 2
LY6G5B	lymphocyte antigen 6 family member G5B	Lymphocyte antigen 6 complex locus protein G5b
LY75	lymphocyte antigen 75	Lymphocyte antigen 75
LY86	lymphocyte antigen 86	Lymphocyte antigen 86
LYPD2	LY6/PLAUR domain containing 2	Ly6/PLAUR domain-containing protein 2
LYPD3	LY6/PLAUR domain containing 3	Ly6/PLAUR domain-containing protein 3
LYPD8	LY6/PLAUR domain containing 8	Ly6/PLAUR domain-containing protein 8
LYPLA1	lysophospholipase 1	Acyl-protein thioesterase 1
LYRM1	LYR motif containing 1	LYR motif-containing protein 1
LYRM7	LYR motif containing 7	Complex III assembly factor LYRM7
LYSMD1	LysM domain containing 1	LysM and putative peptidoglycan-binding domain-containing protein 1
LYSMD4	LysM domain containing 4	LysM and putative peptidoglycan-binding domain-containing protein 4
LYZL2	lysozyme like 2	Lysozyme-like protein 2
LYZL4	lysozyme like 4	Lysozyme-like protein 4
LZIC	leucine zipper and CTNNBIP1 domain containing	Protein LZIC
LZTS2	leucine zipper tumor suppressor 2	Leucine zipper putative tumor suppressor 2
MAB21L2	mab-21 like 2	Protein mab-21-like 2
MACC1	MET transcriptional regulator MACC1	Metastasis-associated in colon cancer protein 1
MACROH2A1	macroH2A.1 histone	Core histone macro-H2A.1
MAD2L2	mitotic arrest deficient 2 like 2	Mitotic spindle assembly checkpoint protein MAD2B
MAFA	MAF bZIP transcription factor A	Transcription factor MafA
MAFB	MAF bZIP transcription factor B	Transcription factor MafB
MAFG	MAF bZIP transcription factor G	Transcription factor MafG
MAFK	MAF bZIP transcription factor K	Transcription factor MafK
MAGEA2B	MAGE family member A2B	
MAGEA3	MAGE family member A3	Melanoma-associated antigen 3
MAGEA4	MAGE family member A4	Melanoma-associated antigen 4
MAGEA6	MAGE family member A6	Melanoma-associated antigen 6
MAGEB17	MAGE family member B17	Melanoma-associated antigen B17
MAGEB3	MAGE family member B3	Melanoma-associated antigen B3
MAGEB4	MAGE family member B4	Melanoma-associated antigen B4
MAGEB6B	MAGE family member B6B	Melanoma-associated antigen B6B
MAGED1	MAGE family member D1	Melanoma-associated antigen D1
MAGEE2	MAGE family member E2	Melanoma-associated antigen E2
MAGEL2	MAGE family member L2	MAGE-like protein 2
MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2
MAGI3	membrane associated guanylate kinase, WW and PDZ domain containing 3	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 3
MALL	mal, T cell differentiation protein like	MAL-like protein
MALT1	MALT1 paracaspase	Mucosa-associated lymphoid tissue lymphoma translocation protein 1
MANBAL	mannosidase beta like	Protein MANBAL
MAP1LC3B2	microtubule associated protein 1 light chain 3 beta 2	Microtubule-associated protein 1 light chain 3 beta 2
MAP2K7	mitogen-activated protein kinase kinase 7	Dual specificity mitogen-activated protein kinase kinase 7
MAP3K1	mitogen-activated protein kinase kinase kinase 1	Mitogen-activated protein kinase kinase kinase 1
MAP3K13	mitogen-activated protein kinase kinase kinase 13	Mitogen-activated protein kinase kinase kinase 13
MAP3K14	mitogen-activated protein kinase kinase kinase 14	Mitogen-activated protein kinase kinase kinase 14
MAP3K15	mitogen-activated protein kinase kinase kinase 15	Mitogen-activated protein kinase kinase kinase 15
MAP3K19	mitogen-activated protein kinase kinase kinase 19	Mitogen-activated protein kinase kinase kinase 19
MAP3K2	mitogen-activated protein kinase kinase kinase 2	Mitogen-activated protein kinase kinase kinase 2
MAP3K3	mitogen-activated protein kinase kinase kinase 3	Mitogen-activated protein kinase kinase kinase 3
MAP3K7CL	MAP3K7 C-terminal like	MAP3K7 C-terminal-like protein
MAP3K8	mitogen-activated protein kinase kinase kinase 8	Mitogen-activated protein kinase kinase kinase 8
MAP3K9	mitogen-activated protein kinase kinase kinase 9	Mitogen-activated protein kinase kinase kinase 9
MAP4	microtubule associated protein 4	Microtubule-associated protein 4
MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2	Mitogen-activated protein kinase kinase kinase kinase 2
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3	Mitogen-activated protein kinase kinase kinase kinase 3
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	Mitogen-activated protein kinase kinase kinase kinase 4
MAP6	microtubule associated protein 6	Microtubule-associated protein 6
MAP7D1	MAP7 domain containing 1	MAP7 domain-containing protein 1
MAPK1IP1L	mitogen-activated protein kinase 1 interacting protein 1 like	MAPK-interacting and spindle-stabilizing protein-like
MAPK8	mitogen-activated protein kinase 8	Mitogen-activated protein kinase 8
MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	C-Jun-amino-terminal kinase-interacting protein 1
MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2	C-Jun-amino-terminal kinase-interacting protein 2
MAPK9	mitogen-activated protein kinase 9	Mitogen-activated protein kinase 9
MAPKAPK5	MAPK activated protein kinase 5	MAP kinase-activated protein kinase 5
MAPKBP1	mitogen-activated protein kinase binding protein 1	Mitogen-activated protein kinase-binding protein 1
MAPRE1	microtubule associated protein RP/EB family member 1	Microtubule-associated protein RP/EB family member 1
MARCHF10	membrane associated ring-CH-type finger 10	Probable E3 ubiquitin-protein ligase MARCHF10
MARCHF6	membrane associated ring-CH-type finger 6	E3 ubiquitin-protein ligase MARCHF6
MARCKSL1	MARCKS like 1	MARCKS-related protein
MARCOL	MARCO like	MARCO-like protein
MARF1	meiosis regulator and mRNA stability factor 1	Meiosis regulator and mRNA stability factor 1
MARK2	microtubule affinity regulating kinase 2	Serine/threonine-protein kinase MARK2
MARS1	methionyl-tRNA synthetase 1	Methionine--tRNA ligase, cytoplasmic
MARS2	methionyl-tRNA synthetase 2, mitochondrial	Methionine--tRNA ligase, mitochondrial
MAS1	MAS1 proto-oncogene, G protein-coupled receptor	Proto-oncogene Mas
MASP2	MBL associated serine protease 2	Mannan-binding lectin serine protease 2
MAST3	microtubule associated serine/threonine kinase 3	Microtubule-associated serine/threonine-protein kinase 3
MAST4	microtubule associated serine/threonine kinase family member 4	Microtubule-associated serine/threonine-protein kinase 4
MASTL	microtubule associated serine/threonine kinase like	Serine/threonine-protein kinase greatwall
MAT2A	methionine adenosyltransferase 2A	S-adenosylmethionine synthase isoform type-2
MATCAP1	microtubule associated tyrosine carboxypeptidase 1	Microtubule-associated tyrosine carboxypeptidase 1
MATCAP2	microtubule associated tyrosine carboxypeptidase 2	Putative tyrosine carboxypeptidase MATCAP2
MATK	megakaryocyte-associated tyrosine kinase	Megakaryocyte-associated tyrosine-protein kinase
MATN4	matrilin 4	Matrilin-4
MAU2	MAU2 sister chromatid cohesion factor	MAU2 chromatid cohesion factor homolog
MBD3L4	methyl-CpG binding domain protein 3 like 4	Methyl-CpG-binding domain protein 3-like 4
MBIP	MAP3K12 binding inhibitory protein 1	MAP3K12-binding inhibitory protein 1
MBNL1	muscleblind like splicing regulator 1	Muscleblind-like protein 1
MBNL3	muscleblind like splicing regulator 3	Muscleblind-like protein 3
MBOAT1	membrane bound glycerophospholipid O-acyltransferase 1	Membrane-bound glycerophospholipid O-acyltransferase 1
MC4R	melanocortin 4 receptor	Melanocortin receptor 4
MCAT	malonyl-CoA-acyl carrier protein transacylase	Malonyl-CoA-acyl carrier protein transacylase, mitochondrial
MCCC2	methylcrotonyl-CoA carboxylase subunit 2	Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial
MCCD1	mitochondrial coiled-coil domain 1	Mitochondrial coiled-coil domain protein 1
MCL1	MCL1 apoptosis regulator, BCL2 family member	Induced myeloid leukemia cell differentiation protein Mcl-1
MCM3AP	minichromosome maintenance complex component 3 associated protein	Germinal-center associated nuclear protein
MCM4	minichromosome maintenance complex component 4	DNA replication licensing factor MCM4
MCM5	minichromosome maintenance complex component 5	DNA replication licensing factor MCM5
MCM9	minichromosome maintenance 9 homologous recombination repair factor	DNA helicase MCM9
MCOLN3	mucolipin TRP cation channel 3	Mucolipin-3
MCRIP1	MAPK regulated corepressor interacting protein 1	Mapk-regulated corepressor-interacting protein 1
MCTP1	multiple C2 and transmembrane domain containing 1	Multiple C2 and transmembrane domain-containing protein 1
MDK	midkine	Midkine
MDN1	midasin AAA ATPase 1	Midasin
MDP1	magnesium dependent phosphatase 1	Magnesium-dependent phosphatase 1
MEAF6	MYST/Esa1 associated factor 6	Chromatin modification-related protein MEAF6
MECP2	methyl-CpG binding protein 2	Methyl-CpG-binding protein 2
MED10	mediator complex subunit 10	Mediator of RNA polymerase II transcription subunit 10
MED17	mediator complex subunit 17	Mediator of RNA polymerase II transcription subunit 17
MED23	mediator complex subunit 23	Mediator of RNA polymerase II transcription subunit 23
MED25	mediator complex subunit 25	Mediator of RNA polymerase II transcription subunit 25
MED26	mediator complex subunit 26	Mediator of RNA polymerase II transcription subunit 26
MED30	mediator complex subunit 30	Mediator of RNA polymerase II transcription subunit 30
MED31	mediator complex subunit 31	Mediator of RNA polymerase II transcription subunit 31
MED8	mediator complex subunit 8	Mediator of RNA polymerase II transcription subunit 8
MEF2A	myocyte enhancer factor 2A	Myocyte-specific enhancer factor 2A
MEF2C	myocyte enhancer factor 2C	Myocyte-specific enhancer factor 2C
MEFV	MEFV innate immunity regulator, pyrin	Pyrin
MEGF6	multiple EGF like domains 6	Multiple epidermal growth factor-like domains protein 6
MEGF9	multiple EGF like domains 9	Multiple epidermal growth factor-like domains protein 9
MEI1	meiotic double-stranded break formation protein 1	Meiosis inhibitor protein 1
MEIOSIN	meiosis initiator	Meiosis initiator protein
MEIS2	Meis homeobox 2	Homeobox protein Meis2
MEN1	menin 1	Menin
MEP1B	meprin A subunit beta	Meprin A subunit beta
MEPCE	methylphosphate capping enzyme	7SK snRNA methylphosphate capping enzyme
MESD	mesoderm development LRP chaperone	LRP chaperone MESD
MEST	mesoderm specific transcript	Mesoderm-specific transcript homolog protein
MET	MET proto-oncogene, receptor tyrosine kinase	Hepatocyte growth factor receptor
METTL16	methyltransferase 16, RNA N6-adenosine	RNA N(6)-adenosine-methyltransferase METTL16
METTL17	methyltransferase like 17	Ribosome assembly protein METTL17, mitochondrial
METTL24	methyltransferase like 24	Probable methyltransferase-like protein 24
METTL27	methyltransferase like 27	Methyltransferase-like protein 27
METTL6	methyltransferase 6, tRNA N3-cytidine	tRNA N(3)-cytidine methyltransferase METTL6
MFF	mitochondrial fission factor	Mitochondrial fission factor
MFGE8	milk fat globule EGF and factor V/VIII domain containing	Lactadherin
MFSD1	major facilitator superfamily domain containing 1	Lysosomal dipeptide transporter MFSD1
MFSD2B	MFSD2 lysolipid transporter B, sphingolipid	Sphingosine-1-phosphate transporter MFSD2B
MFSD6	major facilitator superfamily domain containing 6	Major facilitator superfamily domain-containing protein 6
MGA	MAX dimerization protein MGA	MAX gene-associated protein
MGAM2	maltase-glucoamylase 2 (putative)	Probable maltase-glucoamylase 2
MGAT3	beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A
MGRN1	mahogunin ring finger 1	E3 ubiquitin-protein ligase MGRN1
MIA	MIA SH3 domain containing	Melanoma-derived growth regulatory protein
MIB1	MIB E3 ubiquitin protein ligase 1	E3 ubiquitin-protein ligase MIB1
MICU1	mitochondrial calcium uptake 1	Calcium uptake protein 1, mitochondrial
MID2	midline 2	E3 ubiquitin-protein ligase MID2
MIF	macrophage migration inhibitory factor	Macrophage migration inhibitory factor
MIF4GD	MIF4G domain containing	MIF4G domain-containing protein
MIMS1	mitochondrial inner membrane scaffold 1	Mitochondrial inner membrane scaffold 1
MINAR1	membrane integral NOTCH2 associated receptor 1	Major intrinsically disordered Notch2-binding receptor 1
MINDY1	MINDY lysine 48 deubiquitinase 1	Ubiquitin carboxyl-terminal hydrolase MINDY-1
MINDY2	MINDY lysine 48 deubiquitinase 2	Ubiquitin carboxyl-terminal hydrolase MINDY-2
MIOS	meiosis regulator for oocyte development	GATOR2 complex protein MIOS
MIP	major intrinsic protein of lens fiber	Lens fiber major intrinsic protein
MISP	mitotic spindle positioning	Mitotic interactor and substrate of PLK1
MIXL1	Mix paired-like homeobox	Homeobox protein MIXL1
MKKS	MKKS centrosomal shuttling protein	Molecular chaperone MKKS
MKRN2OS	MKRN2 opposite strand	MKRN2 opposite strand protein
MKS1	MKS transition zone complex subunit 1	Tectonic-like complex member MKS1
MLH3	mutL homolog 3	DNA mismatch repair protein Mlh3
MLX	MAX dimerization protein MLX	Max-like protein X
MMP11	matrix metallopeptidase 11	Stromelysin-3
MMP13	matrix metallopeptidase 13	Collagenase 3
MMP21	matrix metallopeptidase 21	Matrix metalloproteinase-21
MMP25	matrix metallopeptidase 25	Matrix metalloproteinase-25
MMP28	matrix metallopeptidase 28	Matrix metalloproteinase-28
MMP9	matrix metallopeptidase 9	Matrix metalloproteinase-9
MMS19	MMS19 cytosolic iron-sulfur assembly component	MMS19 nucleotide excision repair protein homolog
MMUT	methylmalonyl-CoA mutase	Methylmalonyl-CoA mutase, mitochondrial
MOAP1	modulator of apoptosis 1	Modulator of apoptosis 1
MOCOS	molybdenum cofactor sulfurase	Molybdenum cofactor sulfurase
MOCS1	molybdenum cofactor synthesis 1	Molybdenum cofactor biosynthesis protein 1
MOCS2	molybdenum cofactor synthesis 2	Molybdopterin synthase catalytic subunit
MOGAT2	monoacylglycerol O-acyltransferase 2	2-acylglycerol O-acyltransferase 2
MOGS	mannosyl-oligosaccharide glucosidase	Mannosyl-oligosaccharide glucosidase
MON2	MON2 regulator of endosome-to-Golgi trafficking	Protein MON2 homolog
MORF4L1	mortality factor 4 like 1	Mortality factor 4-like protein 1
MORN4	MORN repeat containing 4	MORN repeat-containing protein 4
MOSPD1	motile sperm domain containing 1	Motile sperm domain-containing protein 1
MPC1L	mitochondrial pyruvate carrier 1 like	Mitochondrial pyruvate carrier 1-like protein
MPEG1	macrophage expressed 1	Macrophage-expressed gene 1 protein
MPHOSPH6	M-phase phosphoprotein 6	M-phase phosphoprotein 6
MPI	mannose phosphate isomerase	Mannose-6-phosphate isomerase
MPP3	MAGUK p55 scaffold protein 3	MAGUK p55 subfamily member 3
MPZL3	myelin protein zero like 3	Myelin protein zero-like protein 3
MR1	major histocompatibility complex, class I-related	Major histocompatibility complex class I-related protein 1
MRAP	melanocortin 2 receptor accessory protein	Melanocortin-2 receptor accessory protein
MRAP2	melanocortin 2 receptor accessory protein 2	Melanocortin-2 receptor accessory protein 2
MRE11	MRE11 double strand break repair nuclease	Double-strand break repair protein MRE11
MREG	melanoregulin	Melanoregulin
MRGBP	MRG domain binding protein	MRG/MORF4L-binding protein
MRGPRE	MAS related GPR family member E	Mas-related G protein-coupled receptor member E
MRM2	mitochondrial rRNA methyltransferase 2	rRNA methyltransferase 2, mitochondrial
MRO	maestro	Protein maestro
MROH6	maestro heat like repeat family member 6	Maestro heat-like repeat-containing protein family member 6
MROH8	maestro heat like repeat family member 8	Protein MROH8
MRPL10	mitochondrial ribosomal protein L10	Large ribosomal subunit protein uL10m
MRPL19	mitochondrial ribosomal protein L19	Large ribosomal subunit protein bL19m
MRPL21	mitochondrial ribosomal protein L21	Large ribosomal subunit protein bL21m
MRPL27	mitochondrial ribosomal protein L27	Large ribosomal subunit protein bL27m
MRPL36	mitochondrial ribosomal protein L36	Large ribosomal subunit protein bL36m
MRPL51	mitochondrial ribosomal protein L51	Large ribosomal subunit protein mL51
MRPL57	mitochondrial ribosomal protein L57	Large ribosomal subunit protein mL63
MRPS17	mitochondrial ribosomal protein S17	Small ribosomal subunit protein uS17m
MRPS18B	mitochondrial ribosomal protein S18B	Small ribosomal subunit protein mS40
MRPS22	mitochondrial ribosomal protein S22	Small ribosomal subunit protein mS22
MRPS27	mitochondrial ribosomal protein S27	Small ribosomal subunit protein mS27
MRPS28	mitochondrial ribosomal protein S28	Small ribosomal subunit protein bS1m
MRPS30	mitochondrial ribosomal protein S30	Large ribosomal subunit protein mL65
MRPS5	mitochondrial ribosomal protein S5	Small ribosomal subunit protein uS5m
MRPS7	mitochondrial ribosomal protein S7	Small ribosomal subunit protein uS7m
MRTFB	myocardin related transcription factor B	Myocardin-related transcription factor B
MS4A10	membrane spanning 4-domains A10	Membrane-spanning 4-domains subfamily A member 10
MS4A5	membrane spanning 4-domains A5	Membrane-spanning 4-domains subfamily A member 5
MSANTD2	Myb/SANT DNA binding domain containing 2	Myb/SANT-like DNA-binding domain-containing protein 2
MSANTD5	Myb/SANT DNA binding domain containing 5	Uncharacterized protein MSANTD5
MSANTD7	Myb/SANT DNA binding domain containing 7	Myb/SANT-like DNA-binding domain-containing protein 7
MSGN1	mesogenin 1	Mesogenin-1
MSH3	mutS homolog 3	DNA mismatch repair protein Msh3
MSH5	mutS homolog 5	MutS protein homolog 5
MSL1	MSL complex subunit 1	Male-specific lethal 1 homolog
MSLN	mesothelin	Mesothelin
MSRB2	methionine sulfoxide reductase B2	Methionine-R-sulfoxide reductase B2, mitochondrial
MSRB3	methionine sulfoxide reductase B3	Methionine-R-sulfoxide reductase B3
MSTN	myostatin	Growth/differentiation factor 8
MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	NADH-ubiquinone oxidoreductase chain 4
MT1B	metallothionein 1B	Metallothionein-1B
MT1E	metallothionein 1E	Metallothionein-1E
MT1F	metallothionein 1F	Metallothionein-1F
MT4	metallothionein 4	Metallothionein-4
MTCL1	microtubule crosslinking factor 1	Microtubule cross-linking factor 1
MTCP1	mature T cell proliferation 1	Protein p13 MTCP-1
MTFP1	mitochondrial fission process 1	Mitochondrial fission process protein 1
MTFR1L	mitochondrial fission regulator 1 like	Mitochondrial fission regulator 1-like
MTFR2	mitochondrial fission regulator 2	Mitochondrial fission regulator 2
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial [Includ
MTIF2	mitochondrial translational initiation factor 2	Translation initiation factor IF-2, mitochondrial
MTM1	myotubularin 1	Myotubularin
MTMR1	myotubularin related protein 1	Phosphatidylinositol-3-phosphate phosphatase MTMR1
MTMR11	myotubularin related protein 11	Myotubularin-related protein 11
MTMR2	myotubularin related protein 2	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR2
MTMR3	myotubularin related protein 3	Phosphatidylinositol-3,5-bisphosphate 3-phosphatase MTMR3
